"","ID","date","step","time","lon","lat","agesex","sex","age","m.state","m.year","sn","stepdir","st.pr","st.start","mig.init","mig.init.between"
"1","ME-2018-07",2018-11-08,136.09,2018-11-08 09:00:00,-67.2835693,45.1224709,"m_juv","m","juv","ME","2018","S","S","ME","ME",2018-11-08,2018-11-08
"2","ME-2018-08",2018-11-11,321.9,2018-11-11 15:00:00,-67.2769699,45.115303,"m_ad","m","ad","ME","2018","S","S","ME","ME",2018-11-11,2018-11-11
"3","ME-2018-09",2018-11-09,125.64,2018-11-09 15:00:00,-67.3035355,45.1321983,"f_juv","f","juv","ME","2018","N","N","ME","ME",2018-11-09,2018-11-09
"4","ME-2018-10",2018-10-23,127.97,2018-10-23 08:00:00,-68.7453537,44.9640846,"f_ad","f","ad","ME","2018","S","S","ME","ME",2018-10-23,2018-10-23
"5","ME-2018-12",2018-11-02,301.65,2018-11-02 08:00:00,-67.2904358,45.1356812,"f_juv","f","juv","ME","2018","S","S","ME","ME",2018-11-02,2018-11-03
"6","ME-2018-13",2018-11-14,144.76,2018-11-14 09:00:00,-68.7201157,44.93116,"f_ad","f","ad","ME","2018","S","S","ME","ME",2018-11-14,2018-11-14
"7","NY-2018-01",2018-11-10,464.58,2018-11-10 09:00:00,-75.6014709,43.7875328,"f_juv","f","juv","NY","2018","S","S","NY","NY",2018-11-10,2018-11-10
"8","NY-2018-02",2018-10-29,433.11,2018-10-29 14:00:00,-75.5940704,43.7781906,"f_ad","f","ad","NY","2018","S","S","NY","NY",2018-10-29,2018-10-30
"9","NY-2018-04",2018-10-29,328.65,2018-10-29 08:00:00,-75.5964508,43.7878151,"m_juv","m","juv","NY","2018","S","S","NY","NY",2018-10-29,2018-10-29
"10","NY-2018-05",2018-11-03,338.07,2018-11-03 15:00:00,-75.5949402,43.7884789,"m_juv","m","juv","NY","2018","S","S","NY","NY",2018-11-03,2018-11-03
"11","NY-2018-06",2018-10-23,647.31,2018-10-23 08:00:00,-78.2915955,43.1329155,"f_ad","f","ad","NY","2018","S","S","NY","NY",2018-10-23,2018-10-23
"12","NY-2018-07",2018-11-14,478.47,2018-11-14 09:00:00,-75.5379105,43.2140656,"f_ad","f","ad","NY","2018","S","S","NY","NY",2018-11-14,2018-11-14
"13","NY-2018-08",2018-10-29,347.87,2018-10-29 08:00:00,-78.3939438,43.068428,"m_juv","m","juv","NY","2018","S","S","NY","NY",2018-10-29,2018-10-29
"14","NY-2018-09",2018-11-13,306.21,2018-11-13 15:00:00,-77.2592773,42.6012802,"m_ad","m","ad","NY","2018","S","S","NY","NY",2018-11-13,2018-11-13
"15","ONT-2018-02",2018-10-25,253.6,2018-10-25 14:00:00,-80.3700867,48.6004333,"f_ad","f","ad","ONT","2018","S","S","ONT","ONT",2018-10-25,2018-10-26
"16","PA-2018-01",2018-11-13,359.53,2018-11-13 15:00:00,-80.484314,41.9537277,"m_juv","m","juv","PA","2018","S","S","PA","OH",2018-11-13,2018-11-13
"17","PA-2018-02",2018-11-11,275.78,2018-11-11 15:00:00,-80.4849777,41.9660149,"f_ad","f","ad","PA","2018","S","S","PA","PA",2018-11-11,2018-11-11
"18","PA-2018-03",2018-11-13,220.96,2018-11-13 15:00:00,-80.4933014,41.9756165,"f_ad","f","ad","PA","2018","S","S","PA","PA",2018-11-13,2018-11-13
"19","PA-2018-04",2018-11-01,106.15,2018-11-01 14:00:00,-80.4800644,41.9560585,"f_juv","f","juv","PA","2018","S","S","PA","PA",2018-11-01,2018-11-02
"20","PA-2018-05",2018-10-27,291.74,2018-10-27 08:00:00,-80.4760208,41.9662476,"m_ad","m","ad","PA","2018","S","S","PA","PA",2018-10-27,2018-10-27
"21","PA-2018-07",2018-10-20,32.47,2018-10-20 14:00:00,-80.497673,41.9830666,"f_ad","f","ad","PA","2018","S","S","PA","PA",2018-10-20,2018-10-20
"22","PA-2018-08",2018-10-23,604.35,2018-10-23 08:00:00,-80.498703,41.9678078,"m_ad","m","ad","PA","2018","S","S","PA","PA",2018-10-23,2018-10-24
"23","PA-2018-09",2018-10-19,383.05,2018-10-19 08:00:00,-80.48526,41.9528313,"f_ad","f","ad","PA","2018","S","S","PA","PA",2018-10-19,2018-10-20
"24","PA-2018-11",2018-10-22,787.97,2018-10-22 14:00:00,-80.4971924,41.9619713,"m_ad","m","ad","PA","2018","S","S","PA","PA",2018-10-22,2018-10-23
"25","QUE-2018-01",2018-10-17,554.5,2018-10-17 08:00:00,-78.8262787,48.8419189,"f_juv","f","juv","QUE","2018","S","S","QUE","QUE",2018-10-17,2018-10-17
"26","QUE-2018-02",2018-10-21,669.38,2018-10-21 14:00:00,-78.8250504,48.8379021,"f_ad","f","ad","QUE","2018","S","S","QUE","QUE",2018-10-21,2018-10-23
"27","QUE-2018-03",2018-10-12,1.62,2018-10-12 14:00:00,-78.8469925,48.8477554,"m_juv","m","juv","QUE","2018","S","","QUE","QUE",2018-10-12,2018-10-13
"28","QUE-2018-04",2018-10-17,651.57,2018-10-17 08:00:00,-78.8283234,48.8376694,"f_juv","f","juv","QUE","2018","S","S","QUE","QUE",2018-10-17,2018-10-17
"29","QUE-2018-05",2018-10-17,360.97,2018-10-17 08:00:00,-78.8471146,48.8098946,"m_juv","m","juv","QUE","2018","S","S","QUE","QUE",2018-10-17,2018-10-18
"30","RI-2018-01",2018-11-08,359.82,2018-11-08 07:00:00,-71.5966568,41.4682999,"m_ad","m","ad","RI","2018","S","S","RI","RI",2018-11-08,2018-11-08
"31","RI-2018-02",2018-11-22,19.96,2018-11-22 07:00:00,-71.5940247,41.4513283,"f_ad","f","ad","RI","2018","S","S","RI","RI",2018-11-22,2018-11-22
"32","RI-2018-06",2018-12-01,662.06,2018-12-01 08:00:00,-71.6881561,41.4202499,"m_ad","m","ad","RI","2018","S","S","RI","RI",2018-12-01,2018-12-03
"33","RI-2018-07",2018-11-21,2.46,2018-11-21 17:00:00,-71.76577,41.6582794,"f_ad","f","ad","RI","2018","S","","RI","RI",2018-11-21,2018-11-21
"34","RI-2018-11",2018-11-11,225.51,2018-11-11 12:00:00,-71.5953522,41.4599304,"f_ad","f","ad","RI","2018","S","S","RI","RI",2018-11-11,2018-11-11
"35","RI-2018-12",2018-12-01,0.01,2018-12-01 08:00:00,-71.5737762,41.6483727,"m_ad","m","ad","RI","2018","S","","RI","RI",2018-12-01,2018-12-02
"36","RI-2018-13",2018-11-25,1.8,2018-11-25 08:00:00,-71.6866684,41.4383736,"m_ad","m","ad","RI","2018","S","","RI","RI",2018-11-25,2018-11-26
"37","RI-2018-15",2018-11-15,41.29,2018-11-15 07:00:00,-71.7676697,41.653286,"m_ad","m","ad","RI","2018","S","S","RI","RI",2018-11-15,2018-11-15
"38","VA-2018-01",2018-11-12,579.76,2018-11-12 10:00:00,-79.5722122,38.1721725,"m_ad","m","ad","VA","2018","S","S","VA","VA",2018-11-12,2018-11-14
