st.start,lon,lat,condition,sex
RI,-71.52092,41.62545,1.08,0
RI,-71.52092,41.62545,1.08,1
MD,-76.68718,38.94649,1.08,0
MD,-76.68718,38.94649,1.08,1
VA,-78.66636,37.51087,1.08,0
VA,-78.66636,37.51087,1.08,1
NC,-79.13089,35.52604,1.08,0
NC,-79.13089,35.52604,1.08,1
SC,-80.86458,33.87774,1.08,0
SC,-80.86458,33.87774,1.08,1
GA,-83.42725,32.63864,1.08,0
GA,-83.42725,32.63864,1.08,1
AL,-86.84452,32.75688,1.08,0
AL,-86.84452,32.75688,1.08,1
MS,-89.65336,32.71289,1.08,0
MS,-89.65336,32.71289,1.08,1
LA,-91.81423,30.90907,1.08,0
LA,-91.81423,30.90907,1.08,1
